index,cell,cell_ontology_class,mouse.id
H8.MAA000914.3_9_M.1.1-1-1,H8.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
H9.B002314.3_56_F.1.1-1-1,H9.B002314.3_56_F.1.1,myeloid cell,3_56_F
H9.MAA000531.3_8_M.1.1-1-1,H9.MAA000531.3_8_M.1.1,"CD4-positive, alpha-beta T cell",3_8_M
H9.MAA000877.3_11_M.1.1-1-1,H9.MAA000877.3_11_M.1.1,B cell,3_11_M
I1.D043520.3_39_F.1.1-1-1,I1.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I1.D045064.3_38_F.1.1-1-1,I1.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
I1.MAA000531.3_8_M.1.1-1-1,I1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I1.MAA000877.3_11_M.1.1-1-1,I1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I1.MAA000914.3_9_M.1.1-1-1,I1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
I10.B002314.3_56_F.1.1-1-1,I10.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
I10.D045064.3_38_F.1.1-1-1,I10.D045064.3_38_F.1.1,"CD4-positive, alpha-beta T cell",3_38_F
I10.MAA000531.3_8_M.1.1-1-1,I10.MAA000531.3_8_M.1.1,macrophage,3_8_M
I10.MAA000877.3_11_M.1.1-1-1,I10.MAA000877.3_11_M.1.1,B cell,3_11_M
I11.B002314.3_56_F.1.1-1-1,I11.B002314.3_56_F.1.1,NK cell,3_56_F
I12.B002314.3_56_F.1.1-1-1,I12.B002314.3_56_F.1.1,myeloid cell,3_56_F
I12.D045064.3_38_F.1.1-1-1,I12.D045064.3_38_F.1.1,macrophage,3_38_F
I12.MAA000877.3_11_M.1.1-1-1,I12.MAA000877.3_11_M.1.1,B cell,3_11_M
I13.B002314.3_56_F.1.1-1-1,I13.B002314.3_56_F.1.1,macrophage,3_56_F
I13.D043520.3_39_F.1.1-1-1,I13.D043520.3_39_F.1.1,macrophage,3_39_F
I13.D045064.3_38_F.1.1-1-1,I13.D045064.3_38_F.1.1,T cell,3_38_F
I13.MAA000877.3_11_M.1.1-1-1,I13.MAA000877.3_11_M.1.1,B cell,3_11_M
I14.B002314.3_56_F.1.1-1-1,I14.B002314.3_56_F.1.1,B cell,3_56_F
I14.D045064.3_38_F.1.1-1-1,I14.D045064.3_38_F.1.1,NK cell,3_38_F
I14.MAA000877.3_11_M.1.1-1-1,I14.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I15.B002314.3_56_F.1.1-1-1,I15.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
I15.MAA000877.3_11_M.1.1-1-1,I15.MAA000877.3_11_M.1.1,B cell,3_11_M
I16.D043520.3_39_F.1.1-1-1,I16.D043520.3_39_F.1.1,macrophage,3_39_F
I16.D045064.3_38_F.1.1-1-1,I16.D045064.3_38_F.1.1,myeloid cell,3_38_F
I16.MAA000877.3_11_M.1.1-1-1,I16.MAA000877.3_11_M.1.1,macrophage,3_11_M
I17.B002314.3_56_F.1.1-1-1,I17.B002314.3_56_F.1.1,endothelial cell,3_56_F
I17.MAA000877.3_11_M.1.1-1-1,I17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
I18.B002314.3_56_F.1.1-1-1,I18.B002314.3_56_F.1.1,endothelial cell,3_56_F
I18.MAA000877.3_11_M.1.1-1-1,I18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
I19.B002314.3_56_F.1.1-1-1,I19.B002314.3_56_F.1.1,endothelial cell,3_56_F
I19.D043520.3_39_F.1.1-1-1,I19.D043520.3_39_F.1.1,endothelial cell,3_39_F
I2.B002314.3_56_F.1.1-1-1,I2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I2.D045064.3_38_F.1.1-1-1,I2.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
I2.MAA000531.3_8_M.1.1-1-1,I2.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I2.MAA000877.3_11_M.1.1-1-1,I2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I2.MAA000914.3_9_M.1.1-1-1,I2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
I21.MAA000531.3_8_M.1.1-1-1,I21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
I3.B002314.3_56_F.1.1-1-1,I3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I3.D043520.3_39_F.1.1-1-1,I3.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I3.MAA000531.3_8_M.1.1-1-1,I3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I3.MAA000877.3_11_M.1.1-1-1,I3.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I4.D045064.3_38_F.1.1-1-1,I4.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
I4.MAA000531.3_8_M.1.1-1-1,I4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I4.MAA000877.3_11_M.1.1-1-1,I4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I5.B002314.3_56_F.1.1-1-1,I5.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I5.D045064.3_38_F.1.1-1-1,I5.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
I5.MAA000531.3_8_M.1.1-1-1,I5.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I5.MAA000877.3_11_M.1.1-1-1,I5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I5.MAA000914.3_9_M.1.1-1-1,I5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
I6.B002314.3_56_F.1.1-1-1,I6.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I6.D043520.3_39_F.1.1-1-1,I6.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I6.D045064.3_38_F.1.1-1-1,I6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
I6.MAA000531.3_8_M.1.1-1-1,I6.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I6.MAA000877.3_11_M.1.1-1-1,I6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I7.B002314.3_56_F.1.1-1-1,I7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I7.D043520.3_39_F.1.1-1-1,I7.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I7.MAA000531.3_8_M.1.1-1-1,I7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I7.MAA000877.3_11_M.1.1-1-1,I7.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
I8.B002314.3_56_F.1.1-1-1,I8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
I8.D043520.3_39_F.1.1-1-1,I8.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
I8.MAA000531.3_8_M.1.1-1-1,I8.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
I8.MAA000914.3_9_M.1.1-1-1,I8.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
I9.B002314.3_56_F.1.1-1-1,I9.B002314.3_56_F.1.1,myeloid cell,3_56_F
I9.MAA000531.3_8_M.1.1-1-1,I9.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
I9.MAA000877.3_11_M.1.1-1-1,I9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
I9.MAA000914.3_9_M.1.1-1-1,I9.MAA000914.3_9_M.1.1,macrophage,3_9_M
J1.B002314.3_56_F.1.1-1-1,J1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J1.D043520.3_39_F.1.1-1-1,J1.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
J1.D045064.3_38_F.1.1-1-1,J1.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J1.MAA000531.3_8_M.1.1-1-1,J1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J1.MAA000877.3_11_M.1.1-1-1,J1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J1.MAA000914.3_9_M.1.1-1-1,J1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J10.B002314.3_56_F.1.1-1-1,J10.B002314.3_56_F.1.1,"CD8-positive, alpha-beta T cell",3_56_F
J10.D043520.3_39_F.1.1-1-1,J10.D043520.3_39_F.1.1,myeloid cell,3_39_F
J10.MAA000877.3_11_M.1.1-1-1,J10.MAA000877.3_11_M.1.1,B cell,3_11_M
J11.B002314.3_56_F.1.1-1-1,J11.B002314.3_56_F.1.1,B cell,3_56_F
J11.D045064.3_38_F.1.1-1-1,J11.D045064.3_38_F.1.1,myeloid cell,3_38_F
J11.MAA000877.3_11_M.1.1-1-1,J11.MAA000877.3_11_M.1.1,B cell,3_11_M
J12.B002314.3_56_F.1.1-1-1,J12.B002314.3_56_F.1.1,NK cell,3_56_F
J13.B002314.3_56_F.1.1-1-1,J13.B002314.3_56_F.1.1,myeloid cell,3_56_F
J13.MAA000877.3_11_M.1.1-1-1,J13.MAA000877.3_11_M.1.1,B cell,3_11_M
J14.B002314.3_56_F.1.1-1-1,J14.B002314.3_56_F.1.1,B cell,3_56_F
J14.D043520.3_39_F.1.1-1-1,J14.D043520.3_39_F.1.1,macrophage,3_39_F
J14.D045064.3_38_F.1.1-1-1,J14.D045064.3_38_F.1.1,myeloid cell,3_38_F
J14.MAA000877.3_11_M.1.1-1-1,J14.MAA000877.3_11_M.1.1,macrophage,3_11_M
J15.B002314.3_56_F.1.1-1-1,J15.B002314.3_56_F.1.1,myeloid cell,3_56_F
J15.D043520.3_39_F.1.1-1-1,J15.D043520.3_39_F.1.1,NK cell,3_39_F
J15.D045064.3_38_F.1.1-1-1,J15.D045064.3_38_F.1.1,macrophage,3_38_F
J15.MAA000877.3_11_M.1.1-1-1,J15.MAA000877.3_11_M.1.1,B cell,3_11_M
J16.B002314.3_56_F.1.1-1-1,J16.B002314.3_56_F.1.1,myeloid cell,3_56_F
J2.B002314.3_56_F.1.1-1-1,J2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J2.D045064.3_38_F.1.1-1-1,J2.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J2.MAA000531.3_8_M.1.1-1-1,J2.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J2.MAA000877.3_11_M.1.1-1-1,J2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J2.MAA000914.3_9_M.1.1-1-1,J2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J20.B002314.3_56_F.1.1-1-1,J20.B002314.3_56_F.1.1,endothelial cell,3_56_F
J20.D045064.3_38_F.1.1-1-1,J20.D045064.3_38_F.1.1,endothelial cell,3_38_F
J20.MAA000531.3_8_M.1.1-1-1,J20.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
J21.B002314.3_56_F.1.1-1-1,J21.B002314.3_56_F.1.1,endothelial cell,3_56_F
J22.B002314.3_56_F.1.1-1-1,J22.B002314.3_56_F.1.1,endothelial cell,3_56_F
J22.MAA000531.3_8_M.1.1-1-1,J22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
J3.B002314.3_56_F.1.1-1-1,J3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J3.D045064.3_38_F.1.1-1-1,J3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J3.MAA000531.3_8_M.1.1-1-1,J3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J3.MAA000877.3_11_M.1.1-1-1,J3.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J3.MAA000914.3_9_M.1.1-1-1,J3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J4.B002314.3_56_F.1.1-1-1,J4.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J4.D043520.3_39_F.1.1-1-1,J4.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
J4.MAA000531.3_8_M.1.1-1-1,J4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J4.MAA000877.3_11_M.1.1-1-1,J4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J5.MAA000531.3_8_M.1.1-1-1,J5.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J5.MAA000877.3_11_M.1.1-1-1,J5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J5.MAA000914.3_9_M.1.1-1-1,J5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
J6.B002314.3_56_F.1.1-1-1,J6.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J6.D045064.3_38_F.1.1-1-1,J6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J6.MAA000531.3_8_M.1.1-1-1,J6.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J6.MAA000877.3_11_M.1.1-1-1,J6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J7.B002314.3_56_F.1.1-1-1,J7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J7.D043520.3_39_F.1.1-1-1,J7.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
J7.MAA000531.3_8_M.1.1-1-1,J7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J7.MAA000877.3_11_M.1.1-1-1,J7.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J8.B002314.3_56_F.1.1-1-1,J8.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
J8.D043520.3_39_F.1.1-1-1,J8.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
J8.D045064.3_38_F.1.1-1-1,J8.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
J8.MAA000531.3_8_M.1.1-1-1,J8.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
J8.MAA000877.3_11_M.1.1-1-1,J8.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
J9.B002314.3_56_F.1.1-1-1,J9.B002314.3_56_F.1.1,NK cell,3_56_F
J9.MAA000531.3_8_M.1.1-1-1,J9.MAA000531.3_8_M.1.1,macrophage,3_8_M
J9.MAA000877.3_11_M.1.1-1-1,J9.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
K1.B002314.3_56_F.1.1-1-1,K1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K1.D043520.3_39_F.1.1-1-1,K1.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K1.MAA000531.3_8_M.1.1-1-1,K1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K1.MAA000877.3_11_M.1.1-1-1,K1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K1.MAA000914.3_9_M.1.1-1-1,K1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K10.D045064.3_38_F.1.1-1-1,K10.D045064.3_38_F.1.1,macrophage,3_38_F
K10.MAA000877.3_11_M.1.1-1-1,K10.MAA000877.3_11_M.1.1,myeloid cell,3_11_M
K11.B002314.3_56_F.1.1-1-1,K11.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
K11.D043520.3_39_F.1.1-1-1,K11.D043520.3_39_F.1.1,T cell,3_39_F
K11.D045064.3_38_F.1.1-1-1,K11.D045064.3_38_F.1.1,T cell,3_38_F
K11.MAA000877.3_11_M.1.1-1-1,K11.MAA000877.3_11_M.1.1,B cell,3_11_M
K12.B002314.3_56_F.1.1-1-1,K12.B002314.3_56_F.1.1,myeloid cell,3_56_F
K12.D045064.3_38_F.1.1-1-1,K12.D045064.3_38_F.1.1,macrophage,3_38_F
K12.MAA000877.3_11_M.1.1-1-1,K12.MAA000877.3_11_M.1.1,B cell,3_11_M
K13.B002314.3_56_F.1.1-1-1,K13.B002314.3_56_F.1.1,T cell,3_56_F
K13.D043520.3_39_F.1.1-1-1,K13.D043520.3_39_F.1.1,myeloid cell,3_39_F
K14.B002314.3_56_F.1.1-1-1,K14.B002314.3_56_F.1.1,macrophage,3_56_F
K14.MAA000877.3_11_M.1.1-1-1,K14.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
K15.B002314.3_56_F.1.1-1-1,K15.B002314.3_56_F.1.1,myeloid cell,3_56_F
K15.D043520.3_39_F.1.1-1-1,K15.D043520.3_39_F.1.1,T cell,3_39_F
K15.D045064.3_38_F.1.1-1-1,K15.D045064.3_38_F.1.1,myeloid cell,3_38_F
K15.MAA000877.3_11_M.1.1-1-1,K15.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
K16.B002314.3_56_F.1.1-1-1,K16.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
K16.D045064.3_38_F.1.1-1-1,K16.D045064.3_38_F.1.1,myeloid cell,3_38_F
K17.MAA000914.3_9_M.1.1-1-1,K17.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K18.D045064.3_38_F.1.1-1-1,K18.D045064.3_38_F.1.1,endothelial cell,3_38_F
K18.MAA000877.3_11_M.1.1-1-1,K18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K19.MAA000877.3_11_M.1.1-1-1,K19.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K19.MAA000914.3_9_M.1.1-1-1,K19.MAA000914.3_9_M.1.1,endothelial cell,3_9_M
K2.D043520.3_39_F.1.1-1-1,K2.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K2.D045064.3_38_F.1.1-1-1,K2.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K2.MAA000877.3_11_M.1.1-1-1,K2.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K2.MAA000914.3_9_M.1.1-1-1,K2.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K21.MAA000531.3_8_M.1.1-1-1,K21.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
K22.MAA000531.3_8_M.1.1-1-1,K22.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
K22.MAA000877.3_11_M.1.1-1-1,K22.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
K3.B002314.3_56_F.1.1-1-1,K3.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K3.D043520.3_39_F.1.1-1-1,K3.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K3.D045064.3_38_F.1.1-1-1,K3.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K3.MAA000531.3_8_M.1.1-1-1,K3.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K3.MAA000877.3_11_M.1.1-1-1,K3.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K3.MAA000914.3_9_M.1.1-1-1,K3.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K4.B002314.3_56_F.1.1-1-1,K4.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K4.D043520.3_39_F.1.1-1-1,K4.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K4.MAA000531.3_8_M.1.1-1-1,K4.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K4.MAA000877.3_11_M.1.1-1-1,K4.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K4.MAA000914.3_9_M.1.1-1-1,K4.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K5.D043520.3_39_F.1.1-1-1,K5.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K5.D045064.3_38_F.1.1-1-1,K5.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K5.MAA000531.3_8_M.1.1-1-1,K5.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K5.MAA000877.3_11_M.1.1-1-1,K5.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K5.MAA000914.3_9_M.1.1-1-1,K5.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K6.B002314.3_56_F.1.1-1-1,K6.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K6.D043520.3_39_F.1.1-1-1,K6.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K6.D045064.3_38_F.1.1-1-1,K6.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K6.MAA000531.3_8_M.1.1-1-1,K6.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K6.MAA000877.3_11_M.1.1-1-1,K6.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K7.B002314.3_56_F.1.1-1-1,K7.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
K7.D043520.3_39_F.1.1-1-1,K7.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
K7.D045064.3_38_F.1.1-1-1,K7.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
K7.MAA000531.3_8_M.1.1-1-1,K7.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K7.MAA000877.3_11_M.1.1-1-1,K7.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K7.MAA000914.3_9_M.1.1-1-1,K7.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K8.MAA000531.3_8_M.1.1-1-1,K8.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
K8.MAA000877.3_11_M.1.1-1-1,K8.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
K8.MAA000914.3_9_M.1.1-1-1,K8.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
K9.B002314.3_56_F.1.1-1-1,K9.B002314.3_56_F.1.1,B cell,3_56_F
K9.D045064.3_38_F.1.1-1-1,K9.D045064.3_38_F.1.1,B cell,3_38_F
K9.MAA000531.3_8_M.1.1-1-1,K9.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
K9.MAA000877.3_11_M.1.1-1-1,K9.MAA000877.3_11_M.1.1,macrophage,3_11_M
L1.B002314.3_56_F.1.1-1-1,L1.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L1.D043520.3_39_F.1.1-1-1,L1.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
L1.D045064.3_38_F.1.1-1-1,L1.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
L1.MAA000531.3_8_M.1.1-1-1,L1.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
L1.MAA000877.3_11_M.1.1-1-1,L1.MAA000877.3_11_M.1.1,mesenchymal stem cell of adipose,3_11_M
L1.MAA000914.3_9_M.1.1-1-1,L1.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
L10.B002314.3_56_F.1.1-1-1,L10.B002314.3_56_F.1.1,B cell,3_56_F
L10.D043520.3_39_F.1.1-1-1,L10.D043520.3_39_F.1.1,NK cell,3_39_F
L10.D045064.3_38_F.1.1-1-1,L10.D045064.3_38_F.1.1,NK cell,3_38_F
L10.MAA000877.3_11_M.1.1-1-1,L10.MAA000877.3_11_M.1.1,"CD8-positive, alpha-beta T cell",3_11_M
L11.B002314.3_56_F.1.1-1-1,L11.B002314.3_56_F.1.1,B cell,3_56_F
L11.MAA000877.3_11_M.1.1-1-1,L11.MAA000877.3_11_M.1.1,"CD4-positive, alpha-beta T cell",3_11_M
L12.B002314.3_56_F.1.1-1-1,L12.B002314.3_56_F.1.1,macrophage,3_56_F
L12.D043520.3_39_F.1.1-1-1,L12.D043520.3_39_F.1.1,myeloid cell,3_39_F
L12.D045064.3_38_F.1.1-1-1,L12.D045064.3_38_F.1.1,B cell,3_38_F
L12.MAA000877.3_11_M.1.1-1-1,L12.MAA000877.3_11_M.1.1,T cell,3_11_M
L13.B002314.3_56_F.1.1-1-1,L13.B002314.3_56_F.1.1,"CD4-positive, alpha-beta T cell",3_56_F
L13.D045064.3_38_F.1.1-1-1,L13.D045064.3_38_F.1.1,myeloid cell,3_38_F
L13.MAA000914.3_9_M.1.1-1-1,L13.MAA000914.3_9_M.1.1,B cell,3_9_M
L14.B002314.3_56_F.1.1-1-1,L14.B002314.3_56_F.1.1,myeloid cell,3_56_F
L14.D043520.3_39_F.1.1-1-1,L14.D043520.3_39_F.1.1,NK cell,3_39_F
L14.D045064.3_38_F.1.1-1-1,L14.D045064.3_38_F.1.1,NK cell,3_38_F
L14.MAA000877.3_11_M.1.1-1-1,L14.MAA000877.3_11_M.1.1,B cell,3_11_M
L14.MAA000914.3_9_M.1.1-1-1,L14.MAA000914.3_9_M.1.1,macrophage,3_9_M
L15.MAA000531.3_8_M.1.1-1-1,L15.MAA000531.3_8_M.1.1,myeloid cell,3_8_M
L15.MAA000877.3_11_M.1.1-1-1,L15.MAA000877.3_11_M.1.1,B cell,3_11_M
L15.MAA000914.3_9_M.1.1-1-1,L15.MAA000914.3_9_M.1.1,macrophage,3_9_M
L16.B002314.3_56_F.1.1-1-1,L16.B002314.3_56_F.1.1,macrophage,3_56_F
L16.D043520.3_39_F.1.1-1-1,L16.D043520.3_39_F.1.1,macrophage,3_39_F
L16.MAA000877.3_11_M.1.1-1-1,L16.MAA000877.3_11_M.1.1,B cell,3_11_M
L17.MAA000531.3_8_M.1.1-1-1,L17.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L17.MAA000877.3_11_M.1.1-1-1,L17.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
L18.D045064.3_38_F.1.1-1-1,L18.D045064.3_38_F.1.1,epithelial cell,3_38_F
L18.MAA000877.3_11_M.1.1-1-1,L18.MAA000877.3_11_M.1.1,endothelial cell,3_11_M
L18.MAA000914.3_9_M.1.1-1-1,L18.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
L19.MAA000531.3_8_M.1.1-1-1,L19.MAA000531.3_8_M.1.1,endothelial cell,3_8_M
L19.MAA000914.3_9_M.1.1-1-1,L19.MAA000914.3_9_M.1.1,mesenchymal stem cell of adipose,3_9_M
L2.B002314.3_56_F.1.1-1-1,L2.B002314.3_56_F.1.1,mesenchymal stem cell of adipose,3_56_F
L2.D043520.3_39_F.1.1-1-1,L2.D043520.3_39_F.1.1,mesenchymal stem cell of adipose,3_39_F
L2.D045064.3_38_F.1.1-1-1,L2.D045064.3_38_F.1.1,mesenchymal stem cell of adipose,3_38_F
L2.MAA000531.3_8_M.1.1-1-1,L2.MAA000531.3_8_M.1.1,mesenchymal stem cell of adipose,3_8_M
